Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO
Jun 2019,9.3,0.049,0.05,0.354,99.38,34.0,7.8
Jul 2019,7.9,1.54,0.254,0.307,209.71,28.3,7.5
Aug 2019,8.3,0.065,0.05,0.158,24.15,26.0,7.1
Sep 2019,8.8,0.029,0.05,0.093,28.06,33.0,7.6
Oct 2019,8.7,0.125,0.05,0.126,4.86,31.5,7.6
Nov 2019,9.5,0.111,0.05,0.102,14.94,34.0,12.8
Dec 2019,8,0.01,0.504,0.098,2.52,27.0,7.3
Jan 2020,8.2,0.081,0.207,0.067,66.63,29.0,7.5
Feb 2020,8.3,0.027,0.418,0.088,86.79,25.9,8.1
Mar 2020,8.8,0.078,0.050,0.065,116.15,29.0,7.5
Apr 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jun 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jul 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aug 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sep 2020,9.1,0.034,0.050,0.039,34.49,31.8,11.8
Oct 2020,8.4,0.019,0.050,0.093,63.16,33.0,7.6
Nov 2020,8.4,0.005,NaN,0.044,67.07,25.0,7.8
Dec 2020,8.2,0.005,NaN,0.077,35.79,25.0,7.7
Jan 2021,8.1,0.028,NaN,0.113,62.72,25.0,7.4
Feb 2021,7.7,0.034,NaN,0.094,77.41,29.0,7.2
Mar 2021,8.7,0.005,NaN,0.077,54.38,24.0,7.9
Apr 2021,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May 2021,8.4,NaN,0.05,0.081,79.84,31.0,10.2
Jun 2021,9.7,NaN,0.05,0.1,125.10,35.0,11.9
Jul 2021,9.1,0.064,0.05,0.137,142.82,30.0,8.1
Aug 2021,8.4,0.03,0.29,0.12,120.32,28.0,7.8
Sep 2021,9,0.02,0.21,0.12,948.50,31.0,9.3
Oct 2021,8.3,0.02,0.05,0.17,86.61,31.0,7.6
Nov 2021,8.2,0.005,0.05,0.16,192.34,30.0,6.9
Dec 2021,8.1,0.039,0.66,0.24,85.92,28.0,7.0
Jan 2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Feb 2022,8.5,0.289,0.351,0.173,194.60,30.0,8.0
Mar 2022,8.3,0.020,0.005,0.170,107.81,28.5,7.6
Apr 2022,8.7,0.010,0.040,0.210,212.50,29.0,8.1
May 2022,8.3,0.010,0.010,0.160,88.27,30.0,7.2
Jun 2022,9.0,0.030,0.010,0.400,88.27,35.0,9.0
Jul 2022,9.3,0.080,0.005,0.420,152.73,31.0,8.0
Aug 2022,8.5,0.016,0.050,0.260,206.03,29.0,8.3
Sep 2022,8.6,0.030,0.120,0.180,61.68,30.0,10.1
Oct 2022,7.7,0.005,0.470,0.150,48.91,29.0,6.4
Nov 2022,8.0,0.010,0.390,0.100,63.51,30.0,8.1
Dec 2022,7.3,0.050,0.570,0.160,33.88,29.0,7.2
Jan 2023,7.8,0.022,0.774,0.176,33.62,25.0,7.9
Feb 2023,7.9,0.03,0.690,0.210,49.95,27.0,7.5
Mar 2023,8.3,0.005,0.660,0.250,95.74,26.0,8.8
Apr 2023,8.6,0.005,0.35,0.260,294.16,29.0,8.1
May 2023,8.7,0.030,0.16,0.290,157.68,31.0,8.2
Jun 2023,8.8,0.005,0.05,0.210,75.06,31.0,9.1
Jul 2023,8.6,0,0,0.21,42.92,32.0,6.7
Aug 2023,8.3,0.02,0.46,0.14,93.74,30.0,7.6
Sep 2023,8.5,0,0.1,0.13,46.48,28.0,7.2
Oct 2023,8.6,0.03,0.10,0.40,37.18,30.0,7.0
Nov 2023,8.4,0.05,0.00,0.38,14.68,31.0,7.0
Dec 2023,8.4,NaN,0.00,0.09,26.24,28.0,8.0
Jan 2024,8.4,NaN,0.00,0.085,NaN,NaN,8.0
Feb 2024,8.5,0.090,0.00,0.080,NaN,NaN,8.0
Mar 2024,8.3,0.070,0.00,0.050,NaN,NaN,8.0
Apr 2024,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May 2024,9.3,0.070,0.00,0.150,NaN,NaN,12.5
Jun 2024,9.1,0.080,0.00,0.140,NaN,NaN,7.0
Jul 2024,8.9,0.050,0.00,0.060,NaN,NaN,8.0
Aug 2024,7.8,0.050,1.00,0.610,NaN,NaN,6.0
Sep 2024,7.8,0.100,0.70,0.057,NaN,NaN,7.0
Oct 2024,7.9,0.2,0.2,0.017,NaN,NaN,6.0
Nov 2024,7.3,0.05,0.2,0.018,NaN,NaN,8.0
Dec 2024,7.6,0.1,0.6,0.079,NaN,NaN,6.0
