Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO,Phytoplankton
May-23,8.3,0.01,0.31,0.26,70.98,30,7.8,3589
Jun-23,8.8,0.005,0.05,0.19,5.65,32,8,353
Jul-23,8.7,0,0,0.2,10.43,30,7.5,19693
Aug-23,8.4,0,0.1,0.1,78.01,29,7.6,6287
Sep-23,8.4,0,0.1,0.1,15.64,30,7.3,6577
Oct-23,8.6,0,0.1,0.4,49,28,7,9676
Nov-23,8.3,0.02,0.4,0.4,37.27,29,7,13089
Dec-23,8.4,NaN,0,0.09,41.87,29,9,26048
Jan-24,8.3,NaN,0,0.1,NaN,NaN,8,NaN
Feb-24,8.5,0.03,0,0.07,NaN,NaN,8,NaN
Mar-24,8.4,0.06,0,0.066,NaN,NaN,8,NaN
Apr-24,8.5,0.04,0,0.072,NaN,NaN,7.4,NaN
May-24,8.7,0.03,0,0.053,NaN,NaN,7.8,NaN
Jun-24,9.2,0.03,0,0.039,NaN,NaN,11,NaN
Jul-24,8.2,0,0,0.12,NaN,NaN,8,NaN
Aug-24,8.5,0.02,0,0.37,NaN,NaN,7,NaN
Sep-24,8.6,0.005,0,0.021,NaN,NaN,8,NaN
Oct-24,8.2,0.09,0,0.01,NaN,NaN,7,NaN
Nov-24,8,0.1,0.4,0.024,NaN,NaN,8,NaN
Dec-24,8.1,0.06,0.4,0.039,NaN,NaN,8,NaN
