Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO
Nov 2021,8.0,0.005,0.270,0.180,33.36,28.00,7.2
Dec 2021,8.1,0.012,0.340,0.190,37.10,28.00,7.3
Jan 2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Feb 2022,8.3,0.2,0.480,0.170,125.10,28.00,7.6
Mar 2022,8.2,0.230,0.005,0.130,54.64,27.50,7.3
Apr 2022,8.4,0.010,0.020,0.150,35.88,27.00,7.2
May 2022,8.5,0.010,0.010,0.150,58.21,30.00,7.9
Jun 2022,9.1,0.010,0.010,0.260,83.18,28.00,9.6
Jul 2022,9.4,0.020,0.005,0.280,240.99,31.00,9.5
Aug 2022,8.7,0.020,0.050,0.240,121.36,30.00,8.2
Sep 2022,8.7,0.040,0.050,0.050,106.25,30.00,9.2
Oct 2022,7.8,0.005,0.360,0.130,35.10,28.00,6.6
Nov 2022,8.0,0.040,0.410,0.100,33.40,29.00,8.1
Dec 2022,7.8,0.005,1.180,0.130,28.58,27.50,7.2
Jan 2023,7.8,0.0,0.695,0.156,8.51,25.00,7.9
Feb 2023,7.9,0.0,0.740,0.210,27.71,28.00,7.8
Mar 2023,8.0,0.0,0.700,0.250,46.91,26.00,7.8
Apr 2023,8.0,0.005,1.00,0.280,62.90,29.00,7.6
May 2023,8.3,0.010,0.31,0.260,70.98,30.00,7.8
Jun 2023,8.8,0.005,0.05,0.190,5.65,32.00,8.0
Jul 2023,8.7,0.0,0.0,0.2,10.43,30.00,7.5
Aug 2023,8.4,0.0,0.1,0.10,78.01,29.00,7.6
Sep 2023,8.4,0.0,0.1,0.1,15.64,30.00,7.3
Oct 2023,8.6,0,0.10,0.40,49.00,28.00,7.0
Nov 2023,8.3,0.02,0.40,0.40,37.27,29.00,7.0
Dec 2023,8.4,NaN,0.00,0.09,41.87,29.00,9.0
Jan 2024,8.3,NaN,0.00,0.100,,,8.0
Feb 2024,8.5,0.030,0.00,0.070,,,8.0
Mar 2024,8.4,0.060,0.00,0.066,,,8.0
Apr 2024,8.5,0.040,0.00,0.072,,,7.4
May 2024,8.7,0.030,0.00,0.053,,,7.8
Jun 2024,9.2,0.030,0.00,0.039,,,11.0
Jul 2024,8.2,0.000,0.00,0.120,,,8.0
Aug 2024,8.5,0.020,0.00,0.370,,,7.0
Sep 2024,8.6,0.005,0.00,0.021,,,8.0
Oct 2024,8.2,0.090,0.00,0.010,,,7.0
Nov 2024,8.0,0.100,0.40,0.024,,,8.0
Dec 2024,8.1,0.060,0.40,0.039,,,8.0
