Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO,Phytoplankton
Sep-20,8.7,0.067,0.05,0.04,22.24,31,6.8,46260
Oct-20,8.5,0.019,0.05,0.049,38.23,28,7,60818
Nov-20,7.9,0.005,NaN,0.086,25.28,27.5,7.2,11446
Dec-20,8,0.005,NaN,0.083,46.04,27.5,7.9,14066
Jan-21,8.2,0.022,NaN,0.064,71.76,25,8.6,12324
Feb-21,8,0.043,NaN,0.038,98.78,26,8.1,14490
Mar-21,8.4,0.038,NaN,0.058,78.8,28,8.3,28386
Apr-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May-21,8.4,NaN,0.05,0.054,47.96,31,7.3,63660
Jun-21,8.2,NaN,0.05,0.034,163.33,28,7.7,576581
Jul-21,8.9,0.047,0.05,0.069,67.68,30,7.9,53888
Aug-21,8.2,0.03,0.57,0.04,80.36,29,7.2,14159
Sep-21,8.8,0.07,0.45,0.06,42.83,28,7.6,7727
Oct-21,7.7,0.05,0.05,0.08,53.34,28,7.8,8950
Nov-21,7.9,0.4,0.1,0.13,57.77,26,7.7,35141
Dec-21,8.4,0.059,0.25,0.15,64.46,27,7.5,3235
Jan-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Feb-22,8.4,0.168,0.394,0.241,103.73,25,7.5,307879
Mar-22,8.2,0.02,0.03,0.1,66.89,27.2,7.6,6482
Apr-22,8.1,0.02,0.04,0.11,49,29,7.6,6292
May-22,8.2,0.02,0.03,0.12,40.74,29,7.3,20074
Jun-22,9,0.02,0.01,0.1,100.43,30,6.4,89352
Jul-22,9.3,0.13,0.005,0.13,133.61,31,10.4,71826
Aug-22,8,0.02,0.05,0.28,628.11,30,6.4,974561
Sep-22,8,0.07,0.1,0.05,120.67,29,8.2,37713
Oct-22,7.6,0.02,0.2,0.09,55.69,29,6.6,17324
Nov-22,7.3,0.18,0.47,0.09,61.77,30,6.9,2772
Dec-22,7.6,0.02,0.44,0.14,34.06,29,7,3810
Jan-23,7.8,0.005,0.636,0.155,26.84,26,7.8,2935
Feb-23,7.7,0.08,0.65,0.16,40.14,28,7.9,5586
Mar-23,8,0.005,0.67,0.21,47.69,26,7.9,8039
Apr-23,8,0.005,1,0.22,55.17,28,7.6,9557
May-23,8.1,1.04,0.66,0.24,70.72,31,7.8,7386
Jun-23,8.2,0.19,0.05,0.19,37.53,31,7.1,2276
Jul-23,8.5,0,0,0.17,29.19,32,7.4,5313
Aug-23,8,0.07,0.23,0.13,57.34,28,7.4,10477
Sep-23,8,0,0.1,0.12,15.72,32,6.5,27140
Oct-23,8.5,0,0.1,0.4,9.21,30,7,25811
Nov-23,8.1,0.1,0.4,0.33,41.27,30,7,34787
Dec-23,8.1,NaN,0,0.08,53.6,28,8,24264
Jan-24,8.1,NaN,0,0.089,NaN,NaN,8,NaN
Feb-24,8.5,0.08,0,0.07,NaN,NaN,8,NaN
Mar-24,8.7,0.04,0,0.065,NaN,NaN,8,NaN
Apr-24,8.1,0.07,0,0.066,NaN,NaN,8.1,NaN
May-24,8.7,0.03,0,0.067,NaN,NaN,8.1,NaN
Jun-24,7.7,0.09,0.7,0.077,NaN,NaN,5,NaN
Jul-24,8.8,0,0,0.1,NaN,NaN,8,NaN
Aug-24,7.8,0.2,0.2,0.75,NaN,NaN,6,NaN
Sep-24,8.9,0.002,0,0.024,NaN,NaN,10,NaN
Oct-24,8,0.1,0,0.033,NaN,NaN,8,NaN
Nov-24,7.6,0.03,0.6,0.051,NaN,NaN,7,NaN
Dec-24,7.4,0.1,0.3,0.031,NaN,NaN,8,NaN
