Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO
Oct 2018,8.5,0.031,0.050,0.117,34.05,30.70,7.60
Nov 2018,8.4,0.017,0.050,0.077,93.56,28.70,7.30
Dec 2018,8.5,0.011,0.054,0.079,22.24,27.80,7.70
Jan 2019,7.5,0.06,NaN,0.11,32.03,20.0,7.70
Feb 2019,8.3,0.03,0.16,0.07,8.43,25.0,7.90
Mar 2019,8.2,0.03,0.05,0.05,26.93,23.0,8.10
Apr 2019,8.4,0.018,0.05,0.051,53.66,28.70,7.50
May 2019,8.7,0.271,0.05,0.108,124.84,29.0,5.90
Jun 2019,9.1,0.073,0.05,0.195,68.63,32.0,7.20
Jul 2019,9.1,0.045,0.033,0.131,144.21,29.0,8.90
Aug 2019,8.3,0.077,0.05,0.088,29.02,28.20,7.80
Sep 2019,8.5,0.067,0.100,0.039,15.55,29.0,6.80
Oct 2019,8.8,0.062,0.05,0.061,9.29,32.0,7.50
Nov 2019,8.9,0.040,0.05,0.053,6.77,30.50,8.60
Dec 2019,7.8,0.021,0.115,0.063,7.82,25.0,6.90
Jan 2020,8.2,0.113,0.348,0.062,65.59,26.60,7.60
Feb 2020,8.2,0.048,0.239,0.061,44.65,26.0,7.70
Mar 2020,8.7,0.067,0.050,0.095,73.67,26.0,8.20
Apr 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jun 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jul 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aug 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sep 2020,8.7,0.067,0.050,0.040,22.24,31.0,6.80
Oct 2020,8.5,0.019,0.050,0.049,38.23,28.0,7.0
Nov 2020,7.9,0.005,NaN,0.086,25.28,27.50,7.20
Dec 2020,8.0,0.005,NaN,0.083,46.04,27.50,7.90
Jan 2021,8.2,0.022,NaN,0.064,71.76,25.0,8.60
Feb 2021,8.0,0.043,NaN,0.038,98.78,26.0,8.10
Mar 2021,8.4,0.038,NaN,0.058,78.80,28.0,8.30
Apr 2021,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May 2021,8.4,NaN,0.050,0.054,47.96,31.0,7.30
Jun 2021,8.2,NaN,0.050,0.034,163.33,28.0,7.70
Jul 2021,8.9,0.047,0.050,0.069,67.68,30.0,7.90
Aug 2021,8.2,0.030,0.570,0.040,80.36,29.0,7.20
Sep 2021,8.8,0.070,0.450,0.060,42.83,28.0,7.60
Oct 2021,7.7,0.050,0.050,0.080,53.34,28.0,7.80
Nov 2021,7.9,0.400,0.100,0.130,57.77,26.0,7.70
Dec 2021,8.4,0.059,0.250,0.150,64.46,27.0,7.50
Jan 2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Feb 2022,8.4,0.168,0.394,0.241,103.73,25.0,7.50
Mar 2022,8.2,0.020,0.030,0.100,66.89,27.20,7.60
Apr 2022,8.1,0.020,0.040,0.110,49.0,29.0,7.60
May 2022,8.2,0.020,0.030,0.120,40.74,29.0,7.30
Jun 2022,9.0,0.020,0.010,0.100,100.43,30.0,6.40
Jul 2022,9.3,0.130,0.005,0.130,133.61,31.0,10.40
Aug 2022,8.0,0.020,0.050,0.280,628.11,30.0,6.40
Sep 2022,8.0,0.070,0.100,0.050,120.67,29.0,8.20
Oct 2022,7.6,0.020,0.200,0.090,55.69,29.0,6.60
Nov 2022,7.3,0.180,0.470,0.090,61.77,30.0,6.90
Dec 2022,7.6,0.020,0.440,0.140,34.06,29.0,7.0
Jan 2023,7.8,0.005,0.636,0.155,26.84,26.0,7.80
Feb 2023,7.7,0.08,0.650,0.160,40.14,28.0,7.90
Mar 2023,8.0,0.005,0.670,0.210,47.69,26.0,7.90
Apr 2023,8.0,0.005,1.00,0.220,55.17,28.0,7.60
May 2023,8.1,1.040,0.66,0.240,70.72,31.0,7.80
Jun 2023,8.2,0.190,0.05,0.190,37.53,31.0,7.10
Jul 2023,8.5,0,0,0.17,29.19,32.0,7.40
Aug 2023,8.0,0.07,0.23,0.13,57.34,28.0,7.40
Sep 2023,8.0,0,0.1,0.12,15.72,32.0,6.50
Oct 2023,8.5,0,0.10,0.40,9.21,30.0,7.0
Nov 2023,8.1,0.10,0.40,0.33,41.27,30.0,7.0
Dec 2023,8.1,NaN,0.00,0.08,53.60,28.0,8.0
Jan 2024,8.1,NaN,0.00,0.089,NaN,NaN,8.0
Feb 2024,8.5,0.080,0.00,0.070,NaN,NaN,8.0
Mar 2024,8.7,0.040,0.00,0.065,NaN,NaN,8.0
Apr 2024,8.1,0.070,0.00,0.066,NaN,NaN,8.10
May 2024,8.7,0.030,0.00,0.067,NaN,NaN,8.10
Jun 2024,7.7,0.090,0.70,0.077,NaN,NaN,5.0
Jul 2024,8.8,0.000,0.00,0.100,NaN,NaN,8.0
Aug 2024,7.8,0.200,0.20,0.750,NaN,NaN,6.0
Sep 2024,8.9,0.002,0.00,0.024,NaN,NaN,10.0
Oct 2024,8.0,0.100,0,0.033,NaN,NaN,8.0
Nov 2024,7.6,0.030,0.60,0.051,NaN,NaN,7.0
Dec 2024,7.4,0.100,0.30,0.031,NaN,NaN,8.0
