Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO
4/1/2019,8.2,0.017,0.05,0.093,38.22,29.0,7.3
5/1/2019,8.4,0.065,0.05,0.109,69.06,29.0,6.6
6/1/2019,9.2,0.044,0.05,0.252,59.16,31.0,10.6
7/1/2019,8.3,0.04,0.034,0.318,122.49,29.0,7.1
8/1/2019,8.3,0.071,0.05,0.189,28.06,29.7,7.3
9/1/2019,8.1,0.065,0.342,0.089,13.64,27.0,6.4
10/1/2019,8.5,0.051,0.423,0.113,1.48,32.0,7.9
11/1/2019,8.8,0.209,0.05,0.133,7.73,30.5,8.8
12/1/2019,8.2,0.038,0.114,0.088,1.82,27.0,6.9
1/1/2020,7.9,0.118,0.232,0.067,41.44,26.5,7.5
2/1/2020,8.2,0.113,0.050,0.071,36.05,26.0,7.0
3/1/2020,8.6,0.083,0.050,0.032,90.78,26.0,7.7
4/1/2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/1/2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/1/2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7/1/2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/1/2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9/1/2020,8.3,0.060,0.050,0.074,105.55,31.0,5.6
10/1/2020,8.8,0.025,0.781,0.097,54.91,30.0,7.8
11/1/2020,8.4,0.005,NaN,0.027,314.31,29.0,8.3
12/1/2020,8.2,0.005,NaN,0.064,38.23,29.0,8.3
1/1/2021,8.2,0.019,NaN,0.078,37.96,36.0,7.5
2/1/2021,7.9,0.035,NaN,0.053,64.64,26.0,8.0
3/1/2021,8.3,0.005,NaN,0.060,46.30,27.0,7.2
4/1/2021,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/1/2021,8.4,NaN,0.050,0.102,64.03,30.0,7.0
6/1/2021,9.0,NaN,0.050,0.086,258.19,31.0,7.2
7/1/2021,8.5,0.040,0.124,0.151,88.96,30.0,7.1
8/1/2021,8.3,0.030,0.310,0.130,100.43,29.0,7.2
9/1/2021,9.1,0.030,0.310,0.090,777.53,31.0,7.9
10/1/2021,7.8,0.010,0.050,0.140,101.90,30.0,7.3
11/1/2021,7.9,0.005,0.180,0.180,34.84,28.0,7.2
12/1/2021,8.2,0.010,0.380,0.180,92.26,27.0,7.4
1/1/2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2/1/2022,8.2,0.265,0.527,0.210,105.47,28.0,7.4
3/1/2022,8.0,0.040,0.010,0.140,56.64,27.6,7.0
4/1/2022,8.3,0.020,0.050,0.150,42.13,27.0,7.3
5/1/2022,8.4,0.010,0.010,0.160,59.51,31.0,7.8
6/1/2022,9.1,0.010,0.010,0.250,67.85,30.0,8.6
7/1/2022,9.4,0.040,0.005,0.330,152.90,32.0,10.6
8/1/2022,8.9,0.060,0.050,0.280,447.41,31.0,11.0
9/1/2022,7.8,0.010,0.370,0.150,79.58,30.0,6.9
10/1/2022,7.7,0.005,0.580,0.150,22.41,27.0,6.3
11/1/2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12/1/2022,7.8,0.005,0.480,0.130,24.50,27.0,7.3
1/1/2023,7.8,0.005,0.808,0.188,18.50,26.0,8.1
2/1/2023,7.8,0.4,0.810,0.190,33.19,28.0,7.7
3/1/2023,8.0,0.005,0.690,0.250,41.79,26.0,7.8
4/1/2023,7.9,0.005,1.00,0.270,47.00,28.0,7.2
5/1/2023,8.4,0.010,0.26,0.260,73.41,30.0,7.4
6/1/2023,8.6,0.005,0.05,0.220,15.38,30.0,8.2
7/1/2023,8.5,0,0,0.23,37.36,30.0,6.8
8/1/2023,8.2,0.01,0.6,0.17,81.40,27.0,6.8
9/1/2023,8.5,0,0.2,0.14,48.33,30.0,7.6
10/1/2023,8.6,0.01,0.10,0.50,5.56,28.0,7.0
11/1/2023,8.1,0.05,0.00,0.41,45.52,28.0,7.0
12/1/2023,8.2,NaN,0.00,0.10,13.29,28.0,8.0
1/1/2024,8.2,NaN,0.00,0.098,NaN,NaN,8.0
2/1/2024,8.4,0.140,0.00,0.080,NaN,NaN,7.0
3/1/2024,8.4,0.200,0.00,0.770,NaN,NaN,8.0
4/1/2024,8.1,0.060,0.00,0.090,NaN,NaN,7.2
5/1/2024,8.6,0.000,0.00,0.071,NaN,NaN,7.8
6/1/2024,9.4,0.020,0.20,0.060,NaN,NaN,10.0
7/1/2024,9.1,0.000,0.00,0.140,NaN,NaN,8.0
8/1/2024,8.8,0.040,0.00,0.180,NaN,NaN,8.0
9/1/2024,8.7,0.000,0.20,0.018,NaN,NaN,9.0
10/1/2024,6,0.2,0.2,0.014,NaN,NaN,6.0
11/1/2024,6,0.09,0.4,0.015,NaN,NaN,6.0
12/1/2024,7,0.2,0,0.022,NaN,NaN,7.0
