Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO
Nov 2018,8.5,0.011,0.112,0.079,103.47,29.50,6.80
Dec 2018,8.7,0.026,0.074,0.097,54.29,27.90,8.70
Jan 2019,8.2,0.06,NaN,0.09,86.96,26.0,8.50
Feb 2019,8.8,0.01,0.05,0.07,16.33,27.20,8.30
Mar 2019,8.6,0.04,0.05,0.050,38.22,29.0,8.70
Apr 2019,8.9,0.015,0.05,0.093,44.30,29.0,8.20
May 2019,8.5,0.520,0.05,0.163,75.67,29.0,4.50
Jun 2019,9.4,0.030,0.05,0.189,126.49,33.0,11.30
Jul 2019,8.6,0.057,0.033,0.150,76.97,29.30,7.30
Aug 2019,8.4,0.062,0.05,0.188,35.71,28.0,6.60
Sep 2019,8.4,0.04,0.05,0.087,12.25,25.0,6.50
Oct 2019,8.5,0.067,0.05,0.091,3.39,29.90,6.70
Nov 2019,8.2,0.135,0.05,0.094,38.66,32.0,6.60
Dec 2019,g,0.032,0.170,0.069,6.69,25.50,6.90
Jan 2020,8.1,0.043,0.385,0.069,62.38,28.0,7.90
Feb 2020,8.2,0.028,0.050,0.075,79.93,25.40,7.60
Mar 2020,8.8,0.040,0.050,0.046,98.34,29.0,8.20
Apr 2020,Nan,Nan,Nan,Nan,Nan,Nan,Nan
May 2020,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Jun 2020,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Jul 2020,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Aug 2020,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Sep 2020,8.2,0.005,0.050,0.043,18.85,32.30,8.30
Oct 2020,8.7,0.027,0.050,0.041,68.81,32.40,7.20
Nov 2020,8.0,0.016,Nan,0.054,58.03,24.0,6.40
Dec 2020,8.0,0.005,Nan,0.048,46.57,24.0,8.90
Jan 2021,8.3,0.022,Nan,0.047,97.91,25.0,7.90
Feb 2021,8.2,0.030,Nan,0.054,71.50,26.0,8.50
Mar 2021,8.1,0.005,Nan,0.066,88.09,24.0,8.20
Apr 2021,Nan,Nan,Nan,Nan,Nan,Nan,Nan
May 2021,8.5,Nan,0.050,0.058,85.75,30.0,7.0
Jun 2021,9.1,Nan,0.114,0.073,98.69,32.0,10.30
Jul 2021,9.1,0.050,0.050,0.137,105.63,30.0,7.80
Aug 2021,8.7,0.030,0.170,0.090,112.59,28.0,7.90
Sep 2021,8.3,0.110,0.310,0.150,907.24,30.0,5.40
Oct 2021,7.6,0.020,0.140,0.140,97.21,31.0,6.40
Nov 2021,8.3,0.005,0.050,0.160,167.32,30.0,7.30
Dec 2021,8.2,0.005,0.210,0.180,65.50,28.0,7.50
Jan 2022,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Feb 2022,8.3,0.207,0.440,0.100,137.26,26.0,7.60
Mar 2022,8.0,0.005,0.005,0.160,93.48,26.90,7.20
Apr 2022,8.3,0.010,0.020,0.140,77.23,29.0,7.40
May 2022,8.1,0.010,0.010,0.130,99.56,30.0,6.80
Jun 2022,8.9,0.010,0.010,0.170,84.96,32.0,7.80
Jul 2022,8.9,0.080,0.005,0.200,164.54,31.0,9.0
Aug 2022,8.2,0.380,0.100,0.280,73.76,30.0,5.40
Sep 2022,7.9,0.100,0.120,0.230,82.01,30.0,7.60
Oct 2022,7.9,0.070,0.210,0.140,73.41,29.0,6.20
Nov 2022,7.4,0.005,0.760,0.020,34.66,29.0,5.70
Dec 2022,7.8,0.005,0.580,0.150,41.35,29.0,7.10
Jan 2023,7.8,0.025,0.678,0.176,26.24,23.0,8.10
Feb 2023,7.9,0.03,0.750,0.210,33.05,26.0,7.50
Mar 2023,8.0,0.005,0.690,0.250,33.27,25.0,7.60
Apr 2023,8.0,0.005,1.00,0.260,82.71,26.0,7.20
May 2023,8.6,0.005,0.21,0.240,45.09,30.0,7.20
Jun 2023,8.6,0.050,0.05,0.200,107.12,31.0,7.70
Jul 2023,8.5,0.01,0,0.17,31.80,31.0,8.70
Aug 2023,8.5,0,0.25,0.16,118.58,29.0,7.90
Sep 2023,8.4,0.03,0.2,0.16,111.20,29.0,6.30
Oct 2023,7.8,0.51,0.40,0.50,56.47,30.0,6.0
Nov 2023,8.2,0.05,0.00,0.35,36.75,29.0,7.0
Dec 2023,8.4,Nan,0.00,0.09,25.72,28.0,8.0
Jan 2024,8.2,Nan,0.00,0.080,,,
Feb 2024,8.9,0.030,0.00,0.070,,,
Mar 2024,8.5,0.030,0.00,0.100,,,
Apr 2024,8.6,0.050,0.00,0.110,,,
May 2024,8.7,0.020,0.00,0.130,,,
Jun 2024,8.8,0.060,0.00,0.100,,,
Jul 2024,8.9,0.010,0.00,0.130,,,
Aug 2024,8.0,0.300,0.30,0.880,,,
Sep 2024,7.5,0.400,0.20,0.110,,,
