Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO,Phytoplankton
Jan-20,8,0.118,0.274,0.038,69.63,27,7.1,3263
Feb-20,8,0.158,0.153,0.087,25.89,25.4,7.3,23554
Mar-20,8.7,0.222,0.05,0.055,68.54,27,7.7,38280
Apr-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jun-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jul-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aug-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sep-20,8.8,0.059,0.05,0.061,54.21,31.3,9.3,61989
Oct-20,8.8,0.005,0.05,0.065,52.65,31,7.3,160241
Nov-20,7.9,0.005,NaN,0.029,93.3,24,6.8,30681
Dec-20,8,0.005,NaN,0.066,31.01,24,7.1,1419
Jan-21,8.3,0.034,NaN,0.078,53.34,34,7.8,6604
Feb-21,8.1,0.079,NaN,0.06,78.8,27,8.3,28090
Mar-21,8.7,0.059,NaN,0.051,107.03,28,8.4,96652
Apr-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May-21,8.4,NaN,0.05,0.074,60.03,30,7.1,19910
Jun-21,8.7,NaN,0.05,0.052,38.66,31,7.7,20125
Jul-21,8.9,0.11,0.05,0.11,149.95,30,8.1,26788
Aug-21,8.2,0.03,1.13,0.12,65.24,28,7,7795
Sep-21,9.2,0.07,0.3,0.03,104.95,3,6.8,27896
Oct-21,8.1,0.35,0.05,0.17,117.8,29,7.4,28648
Nov-21,8.1,0.07,0.05,0.18,72.71,28,6.8,14504
Dec-21,8.3,0.209,0.38,0.22,165.24,26,7.4,9471
Jan-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Feb-22,8.3,0.5,0.631,0.209,116.59,28,7.5,472033
Mar-22,7.9,0.07,0.02,0.14,41.87,26.5,6.8,6304
Apr-22,8.2,0.03,0.02,0.16,51.95,28,7.3,12276
May-22,8.2,0.01,0.03,0.14,48.04,30,6.8,15618
Jun-22,9,0.02,0.01,0.3,117.89,30,7,127298
Jul-22,9.4,0.09,0.005,0.28,163.76,30,8.8,122370
Aug-22,7.9,0.16,0.05,0.73,143.6,29,5.6,119172
Sep-22,7.9,0.07,0.61,0.14,56.64,29,7.1,8613
Oct-22,7.5,0.03,1,0.13,17.9,29,5.8,535
Nov-22,7.5,0.04,0.48,0.08,44.74,28,6.5,1931
Dec-22,7.1,0.005,0.76,0.15,29.89,27,6.9,576
Jan-23,7.7,0.029,0.654,0.171,29.19,26,7.8,2907
Feb-23,7.8,0.06,0.81,0.19,57.77,27,7.7,2200
Mar-23,8,0.03,0.72,0.26,73.5,26,7.8,4002
Apr-23,7.9,0.005,1,0.28,66.46,29,7.2,8062
May-23,8.5,0.19,0.23,0.27,162.98,30,7.2,12373
Jun-23,8.1,0.02,0.29,0.28,76.71,30,7.2,931
Jul-23,8.2,0.02,0,0.17,27.45,30,6.7,2508
Aug-23,8.1,0.1,0.21,0.18,85.49,27,6.4,3841
Sep-23,8.5,0.08,0.5,0.1,72.89,30,7.6,25372
Oct-23,8.7,0.02,0.3,0.6,52.21,28,7,50979
Nov-23,8.4,0.09,0,0.37,34.49,29,7,1977
Dec-23,8.1,NaN,0,0.09,27.28,28,8,9920
Jan-24,8.3,NaN,0,0.089,NaN,NaN,8,NaN
Feb-24,8.4,0.07,0,0.08,NaN,NaN,7,NaN
Mar-24,8.2,0.1,0,0.079,NaN,NaN,7,NaN
Apr-24,8.3,0.1,0,0.1,NaN,NaN,6.8,NaN
May-24,9.4,0,0,0.14,NaN,NaN,9,NaN
Jun-24,9.2,0.1,0.2,0.061,NaN,NaN,8,NaN
Jul-24,9,0.1,0,0.059,NaN,NaN,6,NaN
Aug-24,7.6,0.1,2,0.74,NaN,NaN,5,NaN
Sep-24,7.7,0.002,1,0.05,NaN,NaN,7,NaN
Oct-24,8,0.2,0.3,0.014,NaN,NaN,6,NaN
Nov-24,7.8,0.09,0.7,0.021,NaN,NaN,7,NaN
Dec-24,7.8,0.3,0.4,0.048,NaN,NaN,7,NaN
